tmstmp, lat, lon, vid, rt, pid
20230824 17:45:00,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:45:02,29.63713085200328,-82.35886,1809,9,495
20230824 17:44:56,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:45:16,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:45:17,29.63713085200328,-82.35886,1809,9,495
20230824 17:45:12,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:45:31,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:45:32,29.63713085200328,-82.35886,1809,9,495
20230824 17:45:27,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:45:46,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:45:48,29.63713085200328,-82.35886,1809,9,495
20230824 17:45:55,29.64514,-82.346983,1403,35,207
20230824 17:45:52,29.658063333333335,-82.33710166666667,1301,122,499
20230824 17:46:02,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:46:07,29.63713085200328,-82.35886,1809,9,495
20230824 17:46:11,29.64514,-82.346983,1403,35,207
20230824 17:46:17,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:46:22,29.63713085200328,-82.35886,1809,9,495
20230824 17:46:11,29.64514,-82.346983,1403,35,207
20230824 17:46:35,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:46:39,29.63713085200328,-82.35886,1809,9,495
20230824 17:46:26,29.64514,-82.346983,1403,35,207
20230824 17:46:53,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:46:55,29.63713085200328,-82.35886,1809,9,495
20230824 17:46:57,29.64514,-82.346983,1403,35,207
20230824 17:46:53,29.666588387397375,-82.32382852217657,2301,3,500
20230824 17:46:55,29.63713085200328,-82.35886,1809,9,495
20230824 17:46:57,29.64514,-82.346983,1403,35,207
20230824 17:47:10,29.63713085200328,-82.35886,1809,9,495
20230824 17:47:25,29.63713085200328,-82.35886,1809,9,495
20230824 17:47:41,29.63713085200328,-82.35886,1809,9,495
20230824 17:47:56,29.63713085200328,-82.35886,1809,9,495
20230824 17:48:22,29.63713085200328,-82.35886,1809,9,495
20230824 17:49:10,29.65793833333333,-82.4088,1804,23,500614
20230824 17:49:25,29.65793833333333,-82.4088,1804,23,500614
20230824 17:49:52,29.646418333333333,-82.322625,1603,15,122
20230824 17:49:47,29.65793833333333,-82.4088,1804,23,500614
20230824 17:50:08,29.646418333333333,-82.322625,1603,15,122
20230824 17:50:06,29.65791641691764,-82.40887,1804,23,500614
20230824 17:50:23,29.646418333333333,-82.322625,1603,15,122
20230824 17:50:38,29.646418333333333,-82.322625,1603,15,122
20230824 17:50:54,29.646418333333333,-82.322625,1603,15,122
20230824 17:51:09,29.646418333333333,-82.322625,1603,15,122
20230824 17:51:25,29.646418333333333,-82.322625,1603,15,122
20230824 17:51:25,29.646418333333333,-82.322625,1603,15,122
20230824 17:51:40,29.646418333333333,-82.322625,1603,15,122
20230824 17:51:55,29.646418333333333,-82.322625,1603,15,122
20230824 17:52:11,29.646418333333333,-82.322625,1603,15,122
20230824 17:52:26,29.646418333333333,-82.322625,1603,15,122
20230824 17:52:42,29.646418333333333,-82.322625,1603,15,122
20230824 17:53:02,29.646418333333333,-82.322625,1603,15,122
20230824 17:53:17,29.646418333333333,-82.322625,1603,15,122
20230824 17:53:32,29.646418333333333,-82.322625,1603,15,122
20230824 17:53:48,29.646418333333333,-82.322625,1603,15,122
20230824 17:54:03,29.646418333333333,-82.322625,1603,15,122
20230824 17:54:20,29.646418333333333,-82.322625,1603,15,122
20230824 17:54:35,29.646418333333333,-82.322625,1603,15,122
20230824 17:54:50,29.646418333333333,-82.322625,1603,15,122
20230824 17:55:06,29.646418333333333,-82.322625,1603,15,122
20230824 17:55:21,29.646418333333333,-82.322625,1603,15,122
20230824 17:55:37,29.646418333333333,-82.322625,1603,15,122
20230824 17:55:52,29.646418333333333,-82.322625,1603,15,122
20230824 17:55:52,29.646418333333333,-82.322625,1603,15,122
20230824 17:56:08,29.646418333333333,-82.322625,1603,15,122
20230824 17:56:24,29.646418333333333,-82.322625,1603,15,122
20230824 17:56:40,29.646418333333333,-82.322625,1603,15,122
20230824 17:56:55,29.646418333333333,-82.322625,1603,15,122
20230824 17:57:10,29.646418333333333,-82.322625,1603,15,122
20230824 17:57:27,29.612789,-82.359331,708,9,497
20230824 17:57:26,29.646418333333333,-82.322625,1603,15,122
20230824 17:57:49,29.612789,-82.359331,708,9,497
20230824 17:57:41,29.646418333333333,-82.322625,1603,15,122
20230824 17:58:06,29.612789,-82.359331,708,9,497
20230824 17:57:56,29.646418333333333,-82.322625,1603,15,122
20230824 17:58:21,29.612789,-82.359331,708,9,497
20230824 17:58:12,29.646418333333333,-82.322625,1603,15,122
20230824 17:58:36,29.612789,-82.359331,708,9,497
20230824 17:58:27,29.646418333333333,-82.322625,1603,15,122
20230824 17:58:52,29.612789,-82.359331,708,9,497
20230824 17:58:42,29.646418333333333,-82.322625,1603,15,122
20230824 17:59:08,29.612789,-82.359331,708,9,497
20230824 17:58:58,29.646418333333333,-82.322625,1603,15,122
20230824 17:59:08,29.612789,-82.359331,708,9,497
20230824 17:59:14,29.646418333333333,-82.322625,1603,15,122
